    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6736e+00  1.7371e+00  6.6242e-03 -1.3747e-01  7.1834e-03  4.3865e-02  3.3770e-02 -5.2471e-01  6.1982e-01  1.1299e-01  2.0051e+00  2.4803e+00  1.4151e-02  1.1779e-02  2.8743e-02  1.0899e-02 -1.5002e-02  5.0001e-03  2.7726e-02  1.5379e+00  1.3623e+00  7.8641e-01  8.1370e-01  5.6452e-01  6.1342e-01  5.5762e-02  1.4621e-01  2.4424e-01  3.6132e-01  8.8073e-01
  6.1000e+00  1.6763e+00  1.7385e+00  5.7767e-03 -1.0899e-01  1.0723e-02  3.7562e-02  2.7503e-02 -4.6542e-01  4.9834e-01  1.1095e-01  2.0049e+00  2.4798e+00  9.0175e-03  6.7262e-03  2.4913e-02  8.2308e-03 -1.4455e-02  3.4060e-03  2.6988e-02  1.5378e+00  1.3622e+00  6.3579e-01  6.5643e-01  4.5153e-01  4.9731e-01  4.8225e-02  1.2322e-01  2.0238e-01  3.4497e-01  8.8079e-01
  6.2000e+00  1.6767e+00  1.7386e+00  5.3218e-03 -1.0195e-01  1.1857e-02  3.6902e-02  2.4118e-02 -4.6537e-01  4.6723e-01  1.1627e-01  2.0048e+00  2.4794e+00  6.2084e-03  4.4206e-03  2.3689e-02  8.8948e-03 -1.2272e-02  3.6202e-03  2.5909e-02  1.5379e+00  1.3621e+00  6.0753e-01  6.1729e-01  4.2990e-01  4.7252e-01  4.9298e-02  1.2321e-01  1.9867e-01  3.3943e-01  8.8135e-01
  6.3000e+00  1.6742e+00  1.7364e+00  5.8454e-03 -1.2106e-01  1.8226e-02  6.1284e-02  9.0451e-03 -9.5068e-01  5.2200e-01  1.7902e-01  2.0044e+00  2.4789e+00  1.3272e-03  4.8426e-04  2.6042e-02  1.7598e-02 -8.3842e-03  5.3450e-03 -1.2495e-02  1.5382e+00  1.3616e+00  7.5762e-01  7.0676e-01  5.3024e-01  5.6503e-01  7.2155e-02  1.7086e-01  2.6271e-01  3.7662e-01  8.8239e-01
  6.4000e+00  1.6657e+00  1.7351e+00  2.5277e-03 -1.9960e-01  1.0846e-01  1.0253e-01 -6.1219e-02 -2.5577e+00  9.4944e-01  2.8809e-01  2.0042e+00  2.4788e+00 -1.0393e-02 -1.1144e-03  4.5793e-02 -1.9900e-02 -9.1407e-04 -5.5432e-03  6.2027e-02  1.5635e+00  1.3616e+00  1.2334e+00  1.1826e+00  9.2043e-01  1.0198e+00  2.1023e-01  4.6138e-01  6.1188e-01  6.1156e-01  8.8840e-01
  6.5000e+00  1.6618e+00  1.7374e+00 -3.3489e-03 -1.8984e-01  2.6441e-01  1.2552e-01  1.2006e-02 -3.4122e+00  1.2964e+00  3.4837e-01  2.0034e+00  2.4805e+00  2.6591e-03  3.6831e-02  1.0183e-01 -1.0975e-02  2.7289e-02  1.1986e-02  1.5871e-01  1.6012e+00  1.3626e+00  1.4369e+00  1.4551e+00  1.1608e+00  1.3144e+00  4.6933e-01  1.0005e+00  1.0745e+00  6.7455e-01  8.9875e-01
  6.6000e+00  1.6646e+00  1.7370e+00  2.2561e-03 -1.2955e-01  2.8076e-01  1.2162e-01 -1.8381e-02 -4.7419e+00  1.0118e+00  3.9669e-01  2.0063e+00  2.4853e+00  7.2847e-02  1.0910e-01  1.7133e-01 -1.0716e-03  9.2187e-02  3.6816e-02  1.9765e-01  1.5943e+00  1.3662e+00  1.3448e+00  1.2359e+00  1.0355e+00  1.1077e+00  5.9318e-01  1.3799e+00  1.3346e+00  8.1234e-01  8.9792e-01
  6.7000e+00  1.6677e+00  1.7385e+00  3.4536e-02 -2.3488e-02  3.7342e-01  1.3802e-01  2.4279e-01 -3.8190e+00  7.8042e-01  9.6712e-01  2.0172e+00  2.5083e+00  3.6828e-01  4.7555e-01  5.9338e-01  3.7208e-01  3.3407e-01  2.3738e-01  6.6583e-01  1.5735e+00  1.3870e+00  1.2654e+00  1.0167e+00  9.4477e-01  9.4526e-01  1.2423e+00  3.0449e+00  2.5659e+00  7.8626e-01  9.0426e-01
  6.8000e+00  1.6644e+00  1.7365e+00  7.3990e-02 -3.5548e-02  4.3290e-01  1.8016e-01  4.6314e-01 -2.6713e+00  7.9411e-01  1.5150e+00  2.0301e+00  2.5340e+00  6.5847e-01  8.1817e-01  1.0121e+00  7.3900e-01  5.3797e-01  4.4129e-01  1.2275e+00  1.5633e+00  1.4143e+00  1.4461e+00  1.1135e+00  1.0667e+00  1.0302e+00  1.5534e+00  3.8862e+00  3.1734e+00  8.2273e-01  9.0732e-01
  6.9000e+00  1.6591e+00  1.7347e+00  1.4629e-01 -5.0207e-02  6.3236e-01  2.7800e-01  9.8661e-01 -3.5314e-01  8.9868e-01  2.4161e+00  2.0571e+00  2.5861e+00  1.2077e+00  1.4185e+00  1.7327e+00  1.4035e+00  8.5855e-01  7.3561e-01  2.2255e+00  1.5826e+00  1.4674e+00  1.6401e+00  1.2256e+00  1.2442e+00  1.1505e+00  1.7840e+00  4.5522e+00  3.6133e+00  5.6037e-01  9.0918e-01
