    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6759e+00  1.7374e+00  4.3009e-03 -1.1852e-01 -4.1601e-02  3.7260e-02  8.0846e-03 -6.6207e-01  4.7552e-01  7.6503e-02  2.0054e+00  2.4799e+00  8.2685e-03  4.9439e-03  9.1804e-03  2.3397e-03 -1.5730e-02  2.0642e-03  1.5057e-02  1.5377e+00  1.3622e+00  6.7483e-01  6.9593e-01  4.5474e-01  4.8382e-01  2.0817e-02  6.1969e-02  1.4118e-01  3.5624e-01  8.7717e-01
  6.1000e+00  1.6769e+00  1.7380e+00  4.2365e-03 -1.0786e-01 -3.5929e-02  3.4412e-02  7.9181e-03 -9.6330e-01  4.3726e-01  7.4950e-02  2.0055e+00  2.4799e+00  7.9066e-03  4.7969e-03  9.0582e-03  2.2740e-03 -1.8897e-02  2.0720e-03  1.4465e-02  1.5377e+00  1.3622e+00  6.2181e-01  6.4175e-01  4.1772e-01  4.4498e-01  1.9321e-02  5.7333e-02  1.3067e-01  3.5323e-01  8.7692e-01
  6.2000e+00  1.6774e+00  1.7383e+00  4.1952e-03 -1.0245e-01 -3.3081e-02  3.2935e-02  7.7824e-03 -9.4268e-01  4.1739e-01  7.4030e-02  2.0055e+00  2.4800e+00  7.7054e-03  4.7006e-03  8.9747e-03  2.2396e-03 -2.0717e-02  2.0739e-03  1.4136e-02  1.5377e+00  1.3623e+00  5.9472e-01  6.1387e-01  3.9885e-01  4.2504e-01  1.8535e-02  5.4884e-02  1.2507e-01  3.5079e-01  8.7696e-01
  6.3000e+00  1.6650e+00  1.7359e+00  4.8104e-03 -1.4261e-01 -1.3936e-02  3.5500e-02  2.5163e-02 -1.0174e+00  1.1760e+00  9.4555e-02  2.0041e+00  2.4789e+00  1.7622e-02 -1.6722e-03  1.3477e-02  3.0583e-03 -1.6084e-02  2.6239e-03  1.6229e-02  1.5374e+00  1.3618e+00  1.2223e+00  1.2838e+00  1.0127e+00  1.0877e+00  3.6393e-01  6.8730e-01  8.1741e-01  3.4739e-01  8.8865e-01
  6.4000e+00  1.6272e+00  1.7270e+00  6.5920e-03 -3.1433e-01 -1.0084e-02  6.6288e-02  3.9120e-02 -6.5669e-01  3.0596e+00  1.4529e-01  2.0012e+00  2.4764e+00  1.7917e-02 -7.4932e-03  1.6974e-02  4.4135e-03 -2.7867e-03  3.6809e-03  2.1586e-02  1.5370e+00  1.3611e+00  3.1334e+00  3.2144e+00  2.8024e+00  2.9201e+00  8.9980e-01  1.6669e+00  1.8642e+00  3.0688e-01  9.1805e-01
  6.5000e+00  1.6206e+00  1.7262e+00  7.9172e-03 -3.0630e-01 -3.9695e-03  4.4216e-02  7.2705e-02 -5.0083e-01  3.4692e+00  1.4258e-01  2.0001e+00  2.4760e+00  3.4635e-02 -1.3573e-02  2.6372e-02  2.5024e-03 -3.0883e-04  3.1027e-03  1.9398e-02  1.5367e+00  1.3608e+00  3.4251e+00  3.5478e+00  3.1117e+00  3.2573e+00  1.0607e+00  1.9222e+00  2.1020e+00  3.5667e-01  9.2795e-01
  6.6000e+00  1.6156e+00  1.7223e+00  1.5761e-02 -3.4124e-01  3.7838e-02  3.8097e-02  1.3397e-01 -7.3486e-01  3.6110e+00  1.6661e-01  1.9990e+00  2.4778e+00  1.0135e-01 -6.9457e-03  5.3394e-02  2.9813e-03  3.4586e-03  3.5517e-03  3.2624e-02  1.5365e+00  1.3607e+00  3.6443e+00  3.7600e+00  3.2600e+00  3.4022e+00  1.0766e+00  1.9545e+00  2.1075e+00  5.3383e-01  9.3581e-01
  6.7000e+00  1.6295e+00  1.7262e+00  2.2415e-02 -1.8804e-01  1.1439e-01  6.8147e-02  1.5804e-01 -1.5356e+00  2.7794e+00  2.6732e-01  1.9997e+00  2.4803e+00  1.2676e-01  7.2682e-02  1.0328e-01  2.6442e-02  3.0351e-02  4.6553e-03  5.1514e-02  1.5363e+00  1.3611e+00  2.9704e+00  2.9628e+00  2.6199e+00  2.6921e+00  8.5932e-01  1.7380e+00  1.7251e+00  7.6297e-01  9.3282e-01
  6.8000e+00  1.6361e+00  1.7278e+00  1.8797e-02 -1.8502e-01  9.1313e-02  1.0217e-01  5.2557e-02 -2.4591e+00  2.3655e+00  2.8694e-01  2.0010e+00  2.4797e+00  8.9646e-02  6.9282e-02  8.1459e-02  1.2382e-02  3.5513e-02  2.3240e-03  4.7791e-02  1.5366e+00  1.3615e+00  2.6965e+00  2.6298e+00  2.3260e+00  2.3709e+00  7.6718e-01  1.6064e+00  1.5982e+00  8.8576e-01  9.2076e-01
  6.9000e+00  1.6447e+00  1.7298e+00  1.4880e-02 -2.1509e-01  6.3103e-02  1.2895e-01 -5.9366e-03 -2.2341e+00  1.9553e+00  2.6843e-01  2.0017e+00  2.4789e+00  5.9020e-02  4.3454e-02  5.2510e-02 -9.5010e-03  2.3941e-02  3.0483e-04  5.2680e-02  1.5370e+00  1.3617e+00  2.3172e+00  2.2592e+00  1.9260e+00  1.9799e+00  5.9811e-01  1.2596e+00  1.3113e+00  7.5880e-01  9.0884e-01
