    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6726e+00  1.7357e+00  5.4635e-03 -1.5153e-01 -4.3760e-02  4.7366e-02  1.4285e-02 -4.7119e-01  6.1573e-01  8.8788e-02  2.0052e+00  2.4801e+00  1.3426e-02  7.3178e-03  1.3324e-02  4.1425e-03 -2.0787e-02  2.4558e-03  2.1375e-02  1.5378e+00  1.3623e+00  8.4372e-01  8.6845e-01  5.8244e-01  6.2095e-01  3.3187e-02  9.6264e-02  2.0110e-01  3.5442e-01  8.7893e-01
  6.1000e+00  1.6735e+00  1.7362e+00  5.2768e-03 -1.4127e-01 -3.8266e-02  4.5434e-02  1.3512e-02 -6.8255e-01  5.7723e-01  8.7119e-02  2.0053e+00  2.4800e+00  1.2457e-02  7.0443e-03  1.2875e-02  3.9818e-03 -2.1083e-02  2.4291e-03  2.0591e-02  1.5377e+00  1.3623e+00  7.9367e-01  8.1592e-01  5.4739e-01  5.8336e-01  3.0269e-02  8.8283e-02  1.8560e-01  3.5098e-01  8.7895e-01
  6.2000e+00  1.6747e+00  1.7369e+00  5.1041e-03 -1.2847e-01 -3.2917e-02  4.1887e-02  1.2780e-02 -7.6772e-01  5.2802e-01  8.4156e-02  2.0053e+00  2.4800e+00  1.1643e-02  6.6409e-03  1.2348e-02  3.7484e-03 -2.2352e-02  2.3887e-03  1.9410e-02  1.5377e+00  1.3622e+00  7.2949e-01  7.4979e-01  5.0174e-01  5.3485e-01  2.7570e-02  8.0286e-02  1.6889e-01  3.4670e-01  8.7901e-01
  6.3000e+00  1.6780e+00  1.7416e+00  4.2172e-03  2.7789e-01  2.0934e-01  9.1332e-02  3.8956e-01 -2.3341e-01  5.1917e-01  7.4841e-01  2.0088e+00  2.4902e+00  1.2890e-01  3.3940e-01  2.2962e-01  2.2315e-01  2.1787e-01  7.9483e-02  7.2993e-02  1.5374e+00  1.3670e+00  4.9826e-01  3.5793e-01  3.7865e-01  3.7005e-01  8.5273e-01  2.2848e+00  1.8009e+00  3.3843e-01  8.9799e-01
  6.4000e+00  1.6781e+00  1.7538e+00  4.9157e-03  2.0246e+00  1.1780e+00  3.0545e-01  1.8694e+00  2.1754e-01  8.7211e-01  2.6939e+00  2.0210e+00  2.5211e+00  4.8274e-01  1.2214e+00  7.8158e-01  7.5784e-01  7.0031e-01  2.1972e-01  1.7761e-01  1.5390e+00  1.3753e+00  2.1993e-01 -6.2666e-01  3.7535e-01  1.7108e-01  1.4373e+00  3.8199e+00  2.9152e+00  4.6527e-01  1.0013e+00
  6.5000e+00  1.6483e+00  1.7333e+00  7.6682e-03 -1.8493e-01  1.0252e-01  7.0936e-02  1.0673e-01 -1.1760e+00  2.0473e+00  2.0955e-01  2.0019e+00  2.4788e+00  3.4294e-02  5.7525e-03  5.7747e-02  8.7704e-03  6.0753e-03 -1.1347e-03  3.8486e-02  1.5403e+00  1.3617e+00  2.0805e+00  2.1505e+00  1.8087e+00  1.9433e+00  6.7863e-01  1.3196e+00  1.4270e+00  4.8918e-01  9.0797e-01
  6.6000e+00  1.6171e+00  1.7273e+00  1.1593e-02 -2.0769e-01  2.4411e-01  2.7431e-02  3.4009e-01 -2.4173e-01  3.7187e+00  2.7293e-01  1.9989e+00  2.4803e+00  1.0448e-01  1.1743e-02  1.2969e-01  3.5724e-02  3.8720e-02  2.2693e-02  5.5098e-02  1.5370e+00  1.3619e+00  3.5565e+00  3.7244e+00  3.2682e+00  3.4770e+00  1.2113e+00  2.3060e+00  2.3452e+00  7.2699e-01  9.4348e-01
  6.7000e+00  1.6122e+00  1.7274e+00  1.3384e-02  1.0370e-01  5.3468e-01  4.3600e-02  7.9082e-01 -8.3549e-03  3.9070e+00  7.6703e-01  2.0003e+00  2.4912e+00  2.6741e-01  2.7444e-01  3.3303e-01  1.8226e-01  1.9619e-01  7.6771e-02  1.0391e-01  1.5367e+00  1.3655e+00  3.7180e+00  3.8225e+00  3.4668e+00  3.6617e+00  1.4031e+00  3.0259e+00  2.7112e+00  1.1219e+00  9.7940e-01
  6.8000e+00  1.6430e+00  1.7415e+00  4.1817e-02  1.0025e+00  9.5999e-01  2.3008e-01  1.5141e+00  7.7680e-01  2.3337e+00  2.1328e+00  2.0142e+00  2.5150e+00  4.6829e-01  9.9074e-01  7.3890e-01  6.1969e-01  6.0503e-01  2.1509e-01  2.1600e-01  1.5376e+00  1.3753e+00  2.2397e+00  1.9419e+00  2.1379e+00  2.1611e+00  1.4485e+00  3.6941e+00  2.9221e+00  7.1834e-01  1.0066e+00
  6.9000e+00  1.6422e+00  1.7400e+00  5.3659e-02  7.2787e-01  7.8902e-01  2.4751e-01  1.2877e+00  8.6244e-01  2.2429e+00  2.0961e+00  2.0172e+00  2.5155e+00  4.6060e-01  1.0121e+00  7.5229e-01  6.6678e-01  6.4401e-01  2.4467e-01  2.5380e-01  1.5385e+00  1.3777e+00  2.4295e+00  2.1454e+00  2.2420e+00  2.2207e+00  1.3895e+00  3.5957e+00  2.8537e+00  5.2452e-01  9.7640e-01
  7.0000e+00  1.6287e+00  1.7309e+00  3.2799e-02  2.1773e-01  4.8960e-01  1.8135e-01  8.3752e-01  4.6493e-01  2.8363e+00  1.3268e+00  2.0091e+00  2.5003e+00  3.0804e-01  6.0464e-01  5.0271e-01  4.1233e-01  4.1056e-01  1.5954e-01  1.8196e-01  1.5379e+00  1.3719e+00  3.0657e+00  2.9755e+00  2.7238e+00  2.8004e+00  1.2567e+00  3.0973e+00  2.5811e+00  5.4574e-01  9.5938e-01
  7.1000e+00  1.6205e+00  1.7241e+00  1.8316e-02 -1.9130e-01  2.1907e-01  1.5007e-01  4.1101e-01  2.1536e-01  3.1899e+00  6.6937e-01  2.0032e+00  2.4867e+00  1.5566e-01  2.4436e-01  2.5018e-01  1.8185e-01  1.8690e-01  7.4755e-02  1.1179e-01  1.5376e+00  1.3660e+00  3.4750e+00  3.4935e+00  3.0000e+00  3.1291e+00  1.0635e+00  2.4166e+00  2.2244e+00  4.4194e-01  9.3959e-01
  7.2000e+00  1.6176e+00  1.7206e+00  1.5540e-02 -3.3041e-01  1.2156e-01  1.6649e-01  2.8235e-01  1.7883e-01  3.2395e+00  5.0678e-01  2.0018e+00  2.4828e+00  1.1072e-01  1.5153e-01  1.7444e-01  1.1915e-01  1.2134e-01  4.9634e-02  9.5749e-02  1.5375e+00  1.3643e+00  3.6346e+00  3.6573e+00  3.0609e+00  3.1927e+00  9.2641e-01  2.0415e+00  2.0008e+00  3.9235e-01  9.3359e-01
  7.3000e+00  1.6079e+00  1.7152e+00  1.4537e-02 -4.7398e-01  5.1693e-02  2.0780e-01  1.9611e-01  1.8027e-01  3.5567e+00  4.1996e-01  2.0005e+00  2.4796e+00  6.8844e-02  8.8511e-02  1.1755e-01  7.4193e-02  7.2241e-02  2.9367e-02  8.3656e-02  1.5375e+00  1.3627e+00  4.1281e+00  4.1313e+00  3.4212e+00  3.5494e+00  8.1205e-01  1.7395e+00  1.8551e+00  3.5739e-01  9.3305e-01
  7.4000e+00  1.5851e+00  1.7057e+00  2.2288e-02 -4.9424e-01  1.4644e-01  2.8899e-01  3.8957e-01  2.9032e-01  4.3213e+00  7.2764e-01  2.0015e+00  2.4847e+00  1.4606e-01  2.2941e-01  2.3124e-01  1.7180e-01  1.6619e-01  6.6818e-02  1.2378e-01  1.5375e+00  1.3649e+00  5.2265e+00  5.1310e+00  4.3253e+00  4.4059e+00  9.5786e-01  2.1927e+00  2.1858e+00  4.9541e-01  9.5317e-01
  7.5000e+00  1.5758e+00  1.7011e+00  2.3681e-02 -5.6029e-01  1.0828e-01  2.7467e-01  4.0230e-01  2.4186e-01  4.6604e+00  6.8246e-01  2.0006e+00  2.4840e+00  1.4662e-01  2.0587e-01  2.2444e-01  1.5759e-01  1.5117e-01  6.0037e-02  1.1543e-01  1.5374e+00  1.3642e+00  5.6489e+00  5.5670e+00  4.6771e+00  4.7530e+00  9.8531e-01  2.1999e+00  2.2404e+00  5.3594e-01  9.6025e-01
  7.6000e+00  1.5664e+00  1.6956e+00  2.7122e-02 -5.9603e-01  7.8043e-02  2.6029e-01  4.5847e-01  2.1284e-01  4.9562e+00  6.9432e-01  2.0001e+00  2.4848e+00  1.7057e-01  2.1771e-01  2.4294e-01  1.6426e-01  1.5612e-01  6.0747e-02  1.1406e-01  1.5372e+00  1.3641e+00  6.0635e+00  5.9807e+00  5.0022e+00  5.0643e+00  1.0182e+00  2.2527e+00  2.3019e+00  6.1432e-01  9.6988e-01
  7.7000e+00  1.5567e+00  1.6889e+00  2.9142e-02 -6.8288e-01  8.6304e-03  2.5746e-01  4.7425e-01  1.8756e-01  5.2307e+00  6.7726e-01  1.9993e+00  2.4847e+00  1.8240e-01  2.1266e-01  2.4322e-01  1.5803e-01  1.4839e-01  5.6341e-02  1.1220e-01  1.5371e+00  1.3638e+00  6.4968e+00  6.4122e+00  5.3032e+00  5.3547e+00  1.0097e+00  2.2239e+00  2.3138e+00  6.7066e-01  9.7662e-01
