    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6765e+00  1.7375e+00  3.8370e-03 -1.1454e-01 -4.8701e-02  3.2727e-02  6.9215e-03 -5.6836e-01  4.4851e-01  7.2898e-02  2.0056e+00  2.4800e+00  5.9185e-03  3.9029e-03  8.1630e-03  1.7630e-03 -2.0211e-02  2.0443e-03  1.2435e-02  1.5377e+00  1.3623e+00  6.4498e-01  6.6985e-01  4.2651e-01  4.5601e-01  1.7965e-02  5.3859e-02  1.3034e-01  3.6123e-01  8.7591e-01
  6.1000e+00  1.6772e+00  1.7380e+00  3.8163e-03 -1.0630e-01 -4.3883e-02  3.0678e-02  6.8715e-03 -5.9861e-01  4.1907e-01  7.1752e-02  2.0056e+00  2.4800e+00  5.7744e-03  3.8401e-03  8.1201e-03  1.7422e-03 -2.1585e-02  2.0483e-03  1.2093e-02  1.5377e+00  1.3623e+00  6.0434e-01  6.2802e-01  3.9843e-01  4.2639e-01  1.6889e-02  5.0462e-02  1.2207e-01  3.5901e-01  8.7580e-01
  6.2000e+00  1.6776e+00  1.7382e+00  3.7995e-03 -1.0256e-01 -4.1577e-02  2.9793e-02  6.8177e-03 -8.5380e-01  4.0583e-01  7.1230e-02  2.0056e+00  2.4800e+00  5.7004e-03  3.8038e-03  8.0900e-03  1.7331e-03 -2.2736e-02  2.0505e-03  1.1948e-02  1.5377e+00  1.3623e+00  5.8601e-01  6.0896e-01  3.8594e-01  4.1311e-01  1.6414e-02  4.8965e-02  1.1845e-01  3.5686e-01  8.7588e-01
  6.3000e+00  1.6762e+00  1.7384e+00  1.0367e-02  2.8963e-02  3.3893e-02  3.6799e-02  7.0448e-02 -1.2199e+00  4.9728e-01  1.1724e-01  2.0022e+00  2.4809e+00  1.0512e-01  8.4656e-02  7.9007e-02  3.5022e-02 -6.3325e-03  1.4256e-03  5.3616e-02  1.5360e+00  1.3601e+00  6.1681e-01  5.4742e-01  4.4454e-01  4.3523e-01  2.4719e-01  5.3513e-01  4.8747e-01  3.9460e-01  8.9097e-01
  6.4000e+00  1.6527e+00  1.7344e+00  4.6326e-02  5.5924e-01  3.9859e-01  7.8763e-02  3.9675e-01 -5.1283e-01  1.3480e+00  2.4368e-01  1.9917e+00  2.4825e+00  3.7884e-01  2.6973e-01  2.3868e-01  1.1126e-01  2.5245e-02  1.3306e-03  1.1847e-01  1.5334e+00  1.3572e+00  1.6134e+00  1.0458e+00  1.5053e+00  1.2388e+00  3.9350e-01  8.2446e-01  7.1967e-01  5.9391e-01  1.0198e+00
  6.5000e+00  1.6341e+00  1.7278e+00  1.0432e-02 -2.2266e-01  3.5854e-02  9.6583e-02  6.5352e-02 -6.6350e-01  2.5886e+00  1.8113e-01  1.9995e+00  2.4776e+00  9.4802e-02  5.7048e-02  5.7946e-02  2.6096e-02  4.3049e-03  1.9493e-03  5.4755e-02  1.5359e+00  1.3599e+00  2.7944e+00  2.7726e+00  2.4454e+00  2.5056e+00  6.0939e-01  1.1862e+00  1.2249e+00  3.5187e-01  9.2358e-01
  6.6000e+00  1.6330e+00  1.7279e+00  1.3398e-02 -2.3981e-01  8.6647e-02  1.1639e-01  8.9528e-02 -1.2327e-01  2.6221e+00  1.9822e-01  1.9981e+00  2.4775e+00  1.2898e-01  6.0733e-02  6.4924e-02  2.7487e-02  4.7356e-03  1.3815e-03  6.4033e-02  1.5357e+00  1.3597e+00  2.8559e+00  2.8210e+00  2.5041e+00  2.5590e+00  5.8762e-01  1.1295e+00  1.1698e+00  3.3259e-01  9.3096e-01
  6.7000e+00  1.6433e+00  1.7310e+00  7.2058e-03 -2.1371e-01  4.8866e-02  1.3018e-01  4.3525e-02  1.2536e-01  2.2125e+00  2.1194e-01  2.0007e+00  2.4776e+00  5.8894e-02  3.8791e-02  3.9808e-02  1.8336e-02  1.9497e-03  1.7196e-03  5.5209e-02  1.5364e+00  1.3606e+00  2.3931e+00  2.3788e+00  2.0468e+00  2.1262e+00  5.2599e-01  1.0510e+00  1.1234e+00  3.0985e-01  9.1016e-01
  6.8000e+00  1.6489e+00  1.7313e+00  5.4569e-03 -2.3675e-01  1.4129e-02  1.2611e-01  2.3710e-02  1.4883e-01  1.9170e+00  1.9523e-01  2.0018e+00  2.4775e+00  3.2955e-02  1.7942e-02  2.1756e-02  8.7427e-03 -1.3099e-03  1.7886e-03  4.5028e-02  1.5369e+00  1.3612e+00  2.1143e+00  2.1252e+00  1.7517e+00  1.8393e+00  4.4969e-01  9.0082e-01  1.0300e+00  3.1325e-01  9.0169e-01
  6.9000e+00  1.6524e+00  1.7311e+00  4.3637e-03 -2.4822e-01 -1.1743e-02  1.3243e-01  1.3398e-02  1.5753e-01  1.6841e+00  1.9482e-01  2.0024e+00  2.4776e+00  1.6720e-02  1.0452e-02  1.3991e-02  5.2822e-03  5.9863e-04  1.8728e-03  4.1934e-02  1.5372e+00  1.3616e+00  1.9507e+00  1.9587e+00  1.5554e+00  1.6381e+00  3.3118e-01  6.9404e-01  8.5570e-01  3.1732e-01  8.9590e-01
  7.0000e+00  1.6531e+00  1.7290e+00  4.3062e-03 -2.7722e-01 -5.1320e-02  1.3672e-01  1.1422e-02  1.6097e-01  1.5287e+00  1.8845e-01  2.0026e+00  2.4778e+00  1.4224e-02  1.0524e-02  1.3234e-02  5.2265e-03  3.7435e-03  1.9301e-03  4.1162e-02  1.5373e+00  1.3617e+00  1.9062e+00  1.9079e+00  1.4457e+00  1.5187e+00  2.0839e-01  4.7780e-01  6.5308e-01  3.2355e-01  8.9306e-01
  7.1000e+00  1.6485e+00  1.7251e+00  4.6994e-03 -3.3193e-01 -9.7272e-02  1.4416e-01  1.3505e-02  1.6011e-01  1.6347e+00  1.8327e-01  2.0023e+00  2.4777e+00  1.8509e-02  1.4254e-02  1.5948e-02  6.9519e-03  6.1971e-03  1.9591e-03  4.2262e-02  1.5373e+00  1.3616e+00  2.1248e+00  2.1238e+00  1.5717e+00  1.6406e+00  1.7940e-01  4.3105e-01  6.2089e-01  3.1969e-01  8.9518e-01
  7.2000e+00  1.6386e+00  1.7195e+00  4.7312e-03 -4.3395e-01 -1.3781e-01  1.7892e-01  1.2072e-02  1.7190e-01  1.9983e+00  2.0390e-01  2.0016e+00  2.4772e+00  1.7644e-02  1.2333e-02  1.4382e-02  6.0263e-03  7.1137e-03  1.9426e-03  4.6954e-02  1.5373e+00  1.3617e+00  2.6322e+00  2.6295e+00  1.9398e+00  2.0166e+00  1.6328e-01  4.1729e-01  6.7624e-01  3.2362e-01  8.9864e-01
  7.3000e+00  1.6270e+00  1.7142e+00  5.1427e-03 -5.3096e-01 -1.5705e-01  2.2581e-01  1.4160e-02  1.8713e-01  2.4685e+00  2.4291e-01  2.0007e+00  2.4767e+00  2.1944e-02  1.5654e-02  1.6805e-02  7.4731e-03  8.0310e-03  1.9365e-03  5.6794e-02  1.5372e+00  1.3615e+00  3.2385e+00  3.2227e+00  2.4096e+00  2.4948e+00  1.9541e-01  5.0056e-01  8.0293e-01  3.3599e-01  9.0341e-01
  7.4000e+00  1.6173e+00  1.7090e+00  5.0223e-03 -6.2870e-01 -1.8679e-01  2.6142e-01  1.1501e-02  1.9152e-01  2.8267e+00  2.6244e-01  1.9999e+00  2.4759e+00  2.0010e-02  1.3423e-02  1.4918e-02  6.2773e-03  7.7295e-03  1.8972e-03  6.0454e-02  1.5372e+00  1.3615e+00  3.7357e+00  3.7102e+00  2.7824e+00  2.8698e+00  1.9937e-01  5.2230e-01  8.7536e-01  3.3405e-01  9.0790e-01
  7.5000e+00  1.6052e+00  1.7028e+00  5.5357e-03 -7.2742e-01 -2.2156e-01  2.9662e-01  1.4537e-02  1.9546e-01  3.2472e+00  2.8284e-01  1.9988e+00  2.4752e+00  2.5920e-02  1.8835e-02  1.8736e-02  8.8038e-03  8.5463e-03  1.9103e-03  6.6760e-02  1.5370e+00  1.3613e+00  4.3332e+00  4.2819e+00  3.2401e+00  3.3181e+00  2.3714e-01  6.0528e-01  9.6979e-01  3.2610e-01  9.1534e-01
  7.6000e+00  1.5882e+00  1.6937e+00  5.7508e-03 -8.8407e-01 -2.7328e-01  3.4957e-01  1.4448e-02  2.0485e-01  3.8347e+00  3.0918e-01  1.9975e+00  2.4743e+00  2.8146e-02  1.9940e-02  1.9408e-02  9.2996e-03  8.5922e-03  1.8962e-03  7.3696e-02  1.5369e+00  1.3612e+00  5.1682e+00  5.0873e+00  3.8757e+00  3.9406e+00  2.5603e-01  6.5704e-01  1.0808e+00  3.2454e-01  9.2428e-01
  7.7000e+00  1.5595e+00  1.6804e+00  5.9792e-03 -1.1296e+00 -2.9500e-01  4.6839e-01  1.4935e-02  2.3961e-01  4.8902e+00  3.8634e-01  1.9956e+00  2.4730e+00  3.1040e-02  2.2364e-02  2.1033e-02  1.0431e-02  8.8745e-03  1.8961e-03  9.1845e-02  1.5369e+00  1.3611e+00  6.5843e+00  6.4371e+00  5.0034e+00  5.0432e+00  2.9552e-01  7.6260e-01  1.2820e+00  3.5240e-01  9.3710e-01
  7.8000e+00  1.5516e+00  1.6764e+00  9.6680e-03 -1.0931e+00 -2.9884e-01  4.6056e-01  5.3991e-02  2.4048e-01  4.9312e+00  3.9365e-01  1.9954e+00  2.4749e+00  7.8425e-02  8.6941e-02  6.5621e-02  4.3632e-02  2.1738e-02  2.5499e-03  1.0795e-01  1.5360e+00  1.3602e+00  6.9342e+00  6.6810e+00  5.2976e+00  5.2587e+00  3.8201e-01  9.3746e-01  1.1254e+00  3.3626e-01  9.4741e-01
  7.9000e+00  1.5497e+00  1.6742e+00  1.9597e-02 -8.2527e-01 -2.6988e-01  4.0822e-01  1.4758e-01  2.3397e-01  4.4377e+00  3.9035e-01  1.9951e+00  2.4786e+00  1.7028e-01  1.9807e-01  1.4231e-01  9.4477e-02  3.8616e-02  3.4220e-03  1.2461e-01  1.5348e+00  1.3590e+00  6.9432e+00  6.4225e+00  5.3106e+00  5.0812e+00  3.9907e-01  9.5465e-01  9.6385e-01  3.1250e-01  9.6588e-01
  8.0000e+00  1.5421e+00  1.6691e+00  2.0769e-02 -8.6587e-01 -3.5566e-01  3.7136e-01  1.5266e-01  2.1498e-01  4.5975e+00  3.5952e-01  1.9950e+00  2.4786e+00  1.7493e-01  2.0214e-01  1.4418e-01  9.6185e-02  3.9282e-02  3.5642e-03  1.2072e-01  1.5347e+00  1.3590e+00  7.2480e+00  6.7170e+00  5.5421e+00  5.2824e+00  4.0416e-01  9.6109e-01  9.8043e-01  2.7979e-01  9.7226e-01
  8.1000e+00  1.5316e+00  1.6625e+00  1.7296e-02 -1.0653e+00 -5.0081e-01  3.3193e-01  1.2111e-01  1.8929e-01  5.0487e+00  3.1032e-01  1.9951e+00  2.4774e+00  1.4646e-01  1.6778e-01  1.2072e-01  8.0805e-02  3.4365e-02  3.2994e-03  1.0827e-01  1.5350e+00  1.3592e+00  7.7048e+00  7.2897e+00  5.8924e+00  5.6771e+00  4.2048e-01  9.9552e-01  1.0655e+00  2.3673e-01  9.7311e-01
  8.2000e+00  1.5253e+00  1.6580e+00  2.0532e-02 -1.0401e+00 -5.7611e-01  2.7802e-01  1.4399e-01  1.7118e-01  5.0736e+00  2.8274e-01  1.9952e+00  2.4782e+00  1.6750e-01  1.9243e-01  1.3604e-01  9.2417e-02  3.8469e-02  3.6772e-03  1.0851e-01  1.5348e+00  1.3590e+00  7.9357e+00  7.4656e+00  6.0718e+00  5.7940e+00  4.2724e-01  1.0067e+00  1.0579e+00  2.0020e-01  9.8254e-01
  8.3000e+00  1.5124e+00  1.6498e+00  1.5929e-02 -1.3042e+00 -7.6018e-01  2.3140e-01  1.0226e-01  1.4142e-01  5.6769e+00  2.2294e-01  1.9953e+00  2.4766e+00  1.2898e-01  1.4487e-01  1.0380e-01  7.0760e-02  3.1295e-02  3.2580e-03  9.0973e-02  1.5352e+00  1.3594e+00  8.4986e+00  8.1860e+00  6.4948e+00  6.2861e+00  4.5566e-01  1.0679e+00  1.2013e+00  1.5671e-01  9.8286e-01
  8.4000e+00  1.4993e+00  1.6399e+00  1.6896e-02 -1.4453e+00 -9.3041e-01  1.8839e-01  1.0308e-01  1.2207e-01  5.9766e+00  1.8927e-01  1.9949e+00  2.4763e+00  1.3198e-01  1.4536e-01  1.0334e-01  7.1216e-02  3.1517e-02  3.3461e-03  8.6388e-02  1.5352e+00  1.3594e+00  9.0440e+00  8.7474e+00  6.8555e+00  6.6268e+00  4.6272e-01  1.0842e+00  1.2367e+00  1.3804e-01  9.9212e-01
  8.5000e+00  1.4921e+00  1.6355e+00  1.7179e-02 -1.5144e+00 -1.0133e+00  1.4294e-01  1.0155e-01  1.0472e-01  6.2079e+00  1.5949e-01  1.9949e+00  2.4762e+00  1.3096e-01  1.4250e-01  1.0078e-01  7.0107e-02  3.1255e-02  3.3895e-03  8.0798e-02  1.5352e+00  1.3594e+00  9.3325e+00  9.0606e+00  7.0920e+00  6.8569e+00  4.8952e-01  1.1373e+00  1.3034e+00  1.1155e-01  9.9748e-01
  8.6000e+00  1.4799e+00  1.6260e+00  1.7992e-02 -1.6606e+00 -1.1782e+00  1.1223e-01  9.8758e-02  8.8838e-02  6.4957e+00  1.3266e-01  1.9943e+00  2.4756e+00  1.3175e-01  1.3754e-01  9.7114e-02  6.7303e-02  2.9960e-02  3.3121e-03  7.5932e-02  1.5352e+00  1.3593e+00  9.8423e+00  9.5898e+00  7.4132e+00  7.1668e+00  4.9654e-01  1.1519e+00  1.3487e+00  1.1243e-01  1.0064e+00
  8.7000e+00  1.4633e+00  1.6132e+00  1.7752e-02 -1.9084e+00 -1.3965e+00  8.3663e-02  8.2714e-02  6.8548e-02  6.9886e+00  9.6819e-02  1.9933e+00  2.4742e+00  1.2131e-01  1.1273e-01  8.1001e-02  5.4278e-02  2.4535e-02  2.8563e-03  6.4164e-02  1.5353e+00  1.3594e+00  1.0542e+01  1.0350e+01  7.8564e+00  7.6210e+00  5.3192e-01  1.2191e+00  1.4998e+00  1.2435e-01  1.0160e+00
