log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.5116e+00	1.9490e+00	6.6001e-01	1.0061e+00	7.5093e-01	1.9603e+00	4.2631e+00	6.5845e-01	2.1010e-01	1.7257e+00
6.1	2.5829e+00	2.3082e+00	6.5666e-01	1.2226e+00	8.9937e-01	1.8697e+00	5.5031e+00	1.1148e+00	1.9420e-01	1.4566e+00
6.2	2.2257e+00	2.6257e+00	7.1836e-01	1.2884e+00	1.0293e+00	1.7682e+00	6.1900e+00	1.3742e+00	3.4415e-01	1.3829e+00
6.3	1.6443e+00	3.0971e+00	8.8413e-01	1.2240e+00	1.0835e+00	1.6370e+00	6.6239e+00	1.6791e+00	6.0553e-01	1.5753e+00
6.4	1.3814e+00	3.2588e+00	9.8835e-01	1.0710e+00	1.0458e+00	1.5375e+00	6.2820e+00	1.9115e+00	7.3688e-01	1.6760e+00
6.5	1.1571e+00	2.8963e+00	9.0639e-01	1.0135e+00	1.2206e+00	1.5190e+00	6.8329e+00	2.0563e+00	8.8478e-01	1.4494e+00
6.6	8.2721e-01	2.7256e+00	8.5026e-01	1.1132e+00	1.4133e+00	1.5142e+00	8.0359e+00	2.0849e+00	9.0862e-01	1.4305e+00
6.7	5.6540e-01	3.0420e+00	1.0122e+00	1.2105e+00	1.4615e+00	1.4405e+00	8.7075e+00	2.1494e+00	1.0824e+00	1.8185e+00
6.8	3.8612e-01	3.2867e+00	1.2433e+00	1.3176e+00	1.4142e+00	1.3424e+00	8.4311e+00	2.1421e+00	1.2525e+00	2.5860e+00
6.9	4.8740e-01	4.2340e+00	1.5268e+00	1.3816e+00	1.1261e+00	1.2044e+00	7.7856e+00	2.3610e+00	1.4421e+00	3.9370e+00
7.0	7.1093e-01	5.2113e+00	1.6895e+00	1.3734e+00	8.5559e-01	1.1243e+00	6.8703e+00	2.4886e+00	1.6056e+00	4.3218e+00
7.1	9.2557e-01	4.7533e+00	1.3902e+00	6.1534e-01	5.1046e-01	8.5913e-01	4.6928e+00	2.3676e+00	1.5602e+00	3.7571e+00
7.2	1.0970e+00	4.2342e+00	9.3522e-01	-5.7723e-01	1.7281e-01	4.8062e-01	2.0671e+00	2.2603e+00	1.4314e+00	2.6682e+00
7.3	1.2602e+00	3.7807e+00	9.8161e-01	-5.5638e-01	9.8802e-02	4.0302e-01	1.5646e+00	2.3731e+00	1.5675e+00	2.2495e+00
7.4	1.4027e+00	3.4835e+00	1.0289e+00	-4.5920e-01	7.3939e-02	3.3423e-01	1.3060e+00	2.4059e+00	1.6232e+00	2.0768e+00
7.5	1.4943e+00	3.0718e+00	1.0976e+00	-2.5416e-01	1.8846e-02	2.7500e-01	1.1617e+00	2.4291e+00	1.6787e+00	1.6634e+00
7.6	1.5243e+00	2.6410e+00	1.1540e+00	-9.9682e-02	-4.5416e-02	2.0073e-01	9.7054e-01	2.4373e+00	1.6969e+00	1.2578e+00
7.7	1.5123e+00	2.1164e+00	1.1817e+00	1.7835e-03	-1.2832e-01	1.2288e-01	7.0040e-01	2.4310e+00	1.7230e+00	7.3838e-01
7.8	1.4702e+00	1.5918e+00	1.1902e+00	8.6106e-02	-2.3547e-01	5.6466e-02	5.0204e-01	2.4312e+00	1.7367e+00	1.7854e-01
7.9	1.4301e+00	1.1014e+00	1.2086e+00	1.9886e-01	-3.4573e-01	6.1580e-03	3.8265e-01	2.4581e+00	1.7764e+00	-3.3155e-01
8.0	1.3828e+00	6.1239e-01	1.2432e+00	3.4053e-01	-4.8569e-01	-3.2906e-02	2.9478e-01	2.5211e+00	1.8285e+00	-1.0090e+00
8.1	1.3445e+00	2.4758e-01	1.2559e+00	5.8430e-01	-5.9333e-01	-3.7562e-02	3.2300e-01	2.5412e+00	1.8690e+00	-1.5053e+00
8.2	1.3330e+00	-6.9500e-02	1.2923e+00	8.5431e-01	-7.7347e-01	-6.1750e-02	2.9366e-01	2.6121e+00	1.9267e+00	-1.9502e+00
8.3	1.3461e+00	-1.9200e-01	1.2893e+00	1.2561e+00	-9.0366e-01	-7.1767e-02	3.2580e-01	2.6337e+00	1.9718e+00	-2.2085e+00
8.4	1.4195e+00	-1.5178e-01	1.2598e+00	1.8323e+00	-1.0151e+00	-1.2076e-01	3.3727e-01	2.6518e+00	2.0260e+00	-2.3265e+00
8.5	1.5903e+00	1.1788e-01	1.1755e+00	2.7777e+00	-1.1233e+00	-2.3433e-01	3.4029e-01	2.6887e+00	2.0922e+00	-2.3457e+00
8.6	1.8755e+00	8.1551e-01	1.0355e+00	3.9390e+00	-1.1449e+00	-5.3391e-01	2.3030e-01	2.8033e+00	2.1762e+00	-2.1547e+00
8.7	2.2505e+00	1.9208e+00	8.2441e-01	4.9646e+00	-9.8864e-01	-1.3336e+00	-5.2648e-01	3.0302e+00	2.3183e+00	-1.7110e+00
8.8	2.3375e+00	2.4442e+00	7.3666e-01	4.9693e+00	-5.6761e-01	-2.6850e+00	-2.0930e+00	3.2957e+00	2.5332e+00	-9.8361e-01
8.9	1.8099e+00	1.1622e+00	9.6168e-01	3.1256e+00	-5.6855e-02	-3.9618e+00	-4.1409e+00	3.4589e+00	2.8653e+00	8.8425e-02
9.0	1.4143e+00	2.3912e-01	1.1951e+00	2.0217e+00	-5.6178e-01	-1.9757e+00	-2.0354e+00	3.3555e+00	3.2782e+00	1.3061e+00
9.1	1.4729e+00	4.0169e-01	1.1201e+00	2.5857e+00	-9.3984e-01	-5.5042e-01	-3.9809e-02	3.2142e+00	3.7520e+00	2.5881e+00
9.2	1.8175e+00	1.3521e+00	9.4000e-01	3.9840e+00	-9.0772e-01	-9.0657e-01	-1.3619e-01	3.6260e+00	4.4103e+00	4.1053e+00
9.3	1.7108e+00	1.2400e+00	9.2573e-01	3.7907e+00	-8.7328e-01	-1.0681e+00	-2.5775e-01	4.4365e+00	5.0313e+00	5.6067e+00
9.4	1.9510e+00	2.0951e+00	7.9633e-01	4.8448e+00	-8.4071e-01	-1.3607e+00	-2.1653e-01	4.5756e+00	4.9909e+00	5.7771e+00
9.5	1.4730e+00	2.3903e+00	5.4397e-01	3.2713e+00	-3.9456e-02	-2.4508e+00	-1.6940e+00	5.4507e+00	5.8345e+00	7.6986e+00
9.6	9.9457e-01	1.5907e+00	6.0098e-01	1.6208e+00	1.7945e-02	-1.0953e+00	-2.7743e-01	5.5268e+00	6.2036e+00	8.9719e+00
9.7	7.0761e-01	1.1204e+00	7.0940e-01	3.0295e-01	1.0787e-01	4.8618e-01	1.5010e+00	5.4631e+00	6.6660e+00	1.0414e+01
9.8	7.3598e-01	1.1808e+00	7.7453e-01	3.3239e-01	1.2978e-01	6.2463e-01	1.8140e+00	4.9538e+00	6.4786e+00	1.0894e+01
9.9	5.4645e-01	7.1834e-01	3.4860e-01	4.1382e-01	5.2681e-02	-4.2770e-01	-1.0049e-02	4.8660e+00	6.2613e+00	1.0985e+01
10.0	8.3065e-01	1.1855e+00	7.7812e-01	3.3273e-01	6.7561e-03	4.0859e-01	1.4598e+00	3.1968e+00	4.7179e+00	9.6694e+00
10.1	8.0768e-01	1.2842e+00	8.5753e-01	3.5328e-01	1.4058e-01	6.9054e-01	2.0534e+00	2.2373e+00	3.0454e+00	8.0122e+00
10.2	4.9270e-01	7.5577e-01	4.0775e-01	2.7073e-01	-2.5855e-02	1.3661e-01	7.3027e-01	2.4935e+00	4.1030e+00	1.0336e+01
10.3	9.2803e-01	1.3766e+00	9.4120e-01	3.3788e-01	4.0558e-02	5.8611e-01	1.8781e+00	1.9998e+00	1.9907e+00	4.0393e+00
10.4	5.4832e-01	8.7466e-01	5.3034e-01	3.4086e-01	3.1896e-02	3.5864e-01	1.1678e+00	1.2291e+00	1.1947e+00	3.7337e+00
10.5	2.9970e-01	4.3180e-01	2.4899e-01	1.4267e-01	-3.0286e-02	7.7452e-02	3.7939e-01	6.5100e-01	7.7067e-01	5.1076e+00
10.6	2.5491e+00	1.7905e+00	5.4679e-01	6.0968e+00	-1.0410e+00	-1.1480e+00	-1.4040e+00	2.6821e+00	2.7862e+00	-5.5873e-01
10.7	1.3281e+00	-4.8160e-01	1.2735e+00	1.3994e+00	-9.8248e-01	-3.7333e-02	1.1602e-01	2.5636e+00	2.0577e+00	-2.3846e+00
10.8	1.1443e+00	2.0642e+00	1.0313e+00	1.0127e-01	9.6101e-03	3.8000e-01	1.6055e+00	2.0259e+00	1.5260e+00	1.5188e+00
10.9	4.1188e+00	4.2357e+00	1.1022e-01	3.0797e+00	-2.1055e-01	9.8455e-01	7.5684e+00	3.9593e+00	-6.1583e-01	3.9539e+00
11.0	3.9634e+00	4.0698e+00	2.2435e-01	2.9554e+00	-2.0332e-01	1.1420e+00	7.9898e+00	4.3329e+00	-7.0481e-01	4.1184e+00
