log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	8.5060e-02	1.5808e-01	7.4543e-02	3.1955e-03	3.8531e-02	5.5116e-02	4.3732e-01	7.5346e-02	5.6884e-02	2.7327e+00
6.1	8.5838e-02	1.5200e-01	7.1439e-02	2.1196e-03	3.7402e-02	5.3823e-02	4.3069e-01	7.3789e-02	5.5917e-02	2.6115e+00
6.2	8.8743e-02	1.4808e-01	6.9459e-02	1.7869e-03	3.6538e-02	5.2900e-02	4.2369e-01	7.2631e-02	5.5186e-02	2.5124e+00
6.3	1.0852e-01	1.5466e-01	6.5883e-02	1.2144e-02	3.5101e-02	5.1415e-02	4.3269e-01	8.1267e-02	5.2595e-02	2.3007e+00
6.4	1.4503e-01	1.9825e-01	6.0101e-02	5.0518e-02	3.8906e-02	5.2486e-02	5.0605e-01	1.1260e-01	4.5888e-02	1.9891e+00
6.5	9.4323e-02	1.5848e-01	6.1159e-02	3.1225e-02	4.2138e-02	4.9047e-02	4.4741e-01	9.8945e-02	4.5196e-02	1.8120e+00
6.6	6.1721e-02	1.5853e-01	6.2068e-02	2.4824e-02	5.1709e-02	5.4806e-02	4.6530e-01	6.2823e-02	4.3525e-02	1.8196e+00
6.7	2.3846e-02	1.6840e-01	6.5935e-02	2.6752e-02	6.2085e-02	6.0885e-02	5.1338e-01	3.2909e-02	4.4204e-02	1.8562e+00
6.8	-4.4323e-02	1.9129e-01	7.2474e-02	3.9863e-02	9.4340e-02	7.9875e-02	5.7498e-01	-8.2637e-03	4.1788e-02	1.7159e+00
6.9	-1.9898e-02	1.9068e-01	7.6445e-02	3.9319e-02	8.7815e-02	7.7225e-02	5.8043e-01	1.3926e-02	4.1867e-02	1.6771e+00
7.0	8.1890e-03	1.8413e-01	7.7784e-02	3.4767e-02	7.1515e-02	6.9469e-02	5.3759e-01	3.7909e-02	4.3194e-02	1.5706e+00
7.1	6.4178e-02	1.8033e-01	8.1437e-02	2.4436e-02	4.1528e-02	5.5007e-02	4.5019e-01	7.9008e-02	4.4969e-02	1.4178e+00
7.2	8.1324e-02	1.9307e-01	8.7589e-02	2.3620e-02	3.5291e-02	5.2698e-02	3.8256e-01	8.9204e-02	4.2711e-02	1.2145e+00
7.3	8.0137e-02	1.9224e-01	8.4203e-02	2.3398e-02	3.4224e-02	4.9347e-02	3.0457e-01	8.8146e-02	3.7855e-02	1.0118e+00
