log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.3296e+00	1.6154e+00	6.3984e-01	8.1640e-01	6.1291e-01	1.1936e+00	3.1349e+00	3.6491e-01	1.9910e-01	1.9617e+00
6.1	2.5566e+00	1.8546e+00	6.6236e-01	9.9879e-01	6.9657e-01	1.1224e+00	4.3306e+00	6.6782e-01	1.2345e-01	1.7283e+00
6.2	2.2593e+00	2.0767e+00	6.5128e-01	1.0829e+00	8.5110e-01	1.0979e+00	5.3433e+00	9.7678e-01	2.0357e-01	1.4748e+00
6.3	1.4949e+00	3.0510e+00	9.3866e-01	9.5797e-01	8.5826e-01	1.1252e+00	5.6401e+00	1.4589e+00	5.9860e-01	1.8239e+00
6.4	1.4800e+00	2.6053e+00	9.0870e-01	8.6712e-01	8.9197e-01	1.2181e+00	5.4902e+00	1.5845e+00	6.4958e-01	1.6705e+00
6.5	1.0905e+00	2.6336e+00	8.8582e-01	8.1739e-01	1.0110e+00	1.2561e+00	6.2880e+00	1.8642e+00	7.5866e-01	1.5551e+00
6.6	7.6138e-01	2.3122e+00	7.7619e-01	8.8354e-01	1.1926e+00	1.2655e+00	7.5070e+00	2.0080e+00	8.1310e-01	1.3408e+00
6.7	5.0929e-01	2.3949e+00	9.0477e-01	9.2787e-01	1.2190e+00	1.2099e+00	8.3043e+00	2.0901e+00	9.5846e-01	1.7357e+00
6.8	3.5127e-01	3.0441e+00	1.1455e+00	9.8188e-01	1.1554e+00	1.1677e+00	8.3672e+00	2.1476e+00	1.1645e+00	2.1255e+00
6.9	3.3383e-01	3.4492e+00	1.4011e+00	1.0418e+00	9.4827e-01	1.0966e+00	7.8121e+00	2.2803e+00	1.4314e+00	2.9122e+00
7.0	5.6118e-01	3.0179e+00	1.5381e+00	1.1749e+00	7.6660e-01	1.0510e+00	6.8209e+00	2.2881e+00	1.6356e+00	3.9958e+00
7.1	8.0896e-01	4.3579e+00	1.4636e+00	9.4767e-01	5.3959e-01	9.1810e-01	5.0625e+00	2.1618e+00	1.6630e+00	4.2474e+00
7.2	9.6820e-01	4.1039e+00	9.1171e-01	-2.8556e-01	2.1322e-01	5.0150e-01	2.2433e+00	2.0329e+00	1.3478e+00	3.0238e+00
7.3	1.1200e+00	3.3195e+00	8.1538e-01	-5.9734e-01	4.6899e-02	3.4585e-01	1.1890e+00	2.1711e+00	1.4587e+00	1.9075e+00
7.4	1.2530e+00	3.1456e+00	8.4544e-01	-5.0479e-01	5.7832e-02	2.9435e-01	1.0331e+00	2.1783e+00	1.4767e+00	1.8928e+00
7.5	1.3569e+00	2.7423e+00	9.0884e-01	-3.4251e-01	2.1302e-02	2.1153e-01	8.0921e-01	2.1802e+00	1.5122e+00	1.5221e+00
7.6	1.4026e+00	2.2943e+00	9.7895e-01	-1.7727e-01	-3.6289e-02	1.2740e-01	5.8792e-01	2.1787e+00	1.5345e+00	1.0554e+00
7.7	1.3997e+00	1.8437e+00	1.0474e+00	-4.1280e-02	-1.0503e-01	5.5728e-02	4.0782e-01	2.1848e+00	1.5469e+00	5.7395e-01
7.8	1.3639e+00	1.3352e+00	1.1100e+00	8.7511e-02	-2.0092e-01	-1.2299e-03	2.6518e-01	2.2006e+00	1.5782e+00	2.3995e-02
7.9	1.3019e+00	8.0841e-01	1.1493e+00	2.1390e-01	-3.1955e-01	-5.5894e-02	1.3899e-01	2.2278e+00	1.6000e+00	-5.7746e-01
8.0	1.2381e+00	3.2748e-01	1.1817e+00	3.4676e-01	-4.4514e-01	-1.0335e-01	4.4023e-02	2.2694e+00	1.6400e+00	-1.1800e+00
8.1	1.1868e+00	-3.9656e-02	1.2122e+00	5.1972e-01	-5.7566e-01	-1.4134e-01	-2.5102e-03	2.3141e+00	1.6812e+00	-1.6916e+00
8.2	1.1586e+00	-3.0654e-01	1.2497e+00	7.5983e-01	-7.1222e-01	-1.6631e-01	-4.0239e-03	2.3684e+00	1.7352e+00	-2.1146e+00
8.3	1.1621e+00	-4.2871e-01	1.2688e+00	1.1156e+00	-8.4724e-01	-1.9870e-01	1.1753e-02	2.4096e+00	1.7881e+00	-2.3815e+00
8.4	1.2197e+00	-3.7391e-01	1.2576e+00	1.6302e+00	-9.6412e-01	-2.4560e-01	3.9345e-02	2.4385e+00	1.8418e+00	-2.4880e+00
8.5	1.3537e+00	-7.7322e-02	1.2040e+00	2.3856e+00	-1.0522e+00	-3.4657e-01	6.1095e-02	2.4768e+00	1.8954e+00	-2.4632e+00
8.6	1.6386e+00	6.1584e-01	1.0939e+00	3.6067e+00	-1.1231e+00	-5.5420e-01	4.6690e-02	2.5706e+00	1.9848e+00	-2.3497e+00
8.7	2.1307e+00	2.0109e+00	8.8593e-01	5.2314e+00	-1.1288e+00	-1.0878e+00	-2.3901e-01	2.7664e+00	2.0984e+00	-2.0784e+00
8.8	2.8965e+00	4.1730e+00	5.6222e-01	6.9085e+00	-9.8448e-01	-2.2721e+00	-1.4292e+00	3.0528e+00	2.2439e+00	-1.6573e+00
8.9	4.0236e+00	7.0469e+00	1.0581e-01	8.1595e+00	-3.4249e-01	-5.1767e+00	-5.4371e+00	3.3701e+00	2.4759e+00	-9.4543e-01
