log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	1.9791e-01	1.7248e-01	8.0257e-02	3.7042e-03	6.5152e-02	5.8978e-02	5.2792e-01	8.3629e-02	5.7494e-02	2.6391e+00
6.1	2.2061e-01	1.6697e-01	7.4644e-02	3.6124e-03	6.2641e-02	5.7211e-02	5.4352e-01	7.7162e-02	5.2852e-02	2.5015e+00
6.2	2.7344e-01	1.6508e-01	7.4012e-02	8.0741e-03	5.9536e-02	5.6897e-02	5.5659e-01	7.3838e-02	5.1565e-02	2.3779e+00
6.3	3.2121e-01	1.6349e-01	8.0257e-02	2.0972e-02	6.4647e-02	5.2418e-02	5.9677e-01	9.3664e-02	5.5835e-02	2.0938e+00
6.4	2.8893e-01	1.4575e-01	1.9122e-01	5.8099e-02	6.6079e-02	4.0519e-02	4.9554e-01	3.5560e-01	1.4146e-01	1.0414e+00
6.5	2.7960e-01	1.2137e-01	1.3521e-01	1.8419e-02	5.6923e-02	3.5854e-02	5.6213e-01	2.5429e-01	1.4165e-01	1.4318e+00
6.6	2.0686e-01	1.6251e-01	1.1782e-01	2.1887e-02	8.2615e-02	4.2566e-02	6.0294e-01	2.3890e-01	1.3040e-01	1.5297e+00
6.7	1.5948e-01	1.9895e-01	1.1693e-01	2.2770e-02	1.0920e-01	5.4205e-02	6.3944e-01	2.3081e-01	1.0850e-01	1.6018e+00
6.8	1.3561e-01	2.2378e-01	1.2664e-01	2.5187e-02	1.1497e-01	6.2352e-02	6.6882e-01	2.5275e-01	1.1218e-01	1.5166e+00
6.9	1.2122e-01	2.3797e-01	1.4241e-01	3.1500e-02	1.1030e-01	7.4474e-02	7.0646e-01	2.9345e-01	1.1733e-01	1.3972e+00
7.0	1.1173e-01	2.7267e-01	1.6122e-01	3.8167e-02	1.0084e-01	9.6870e-02	8.9216e-01	3.3226e-01	1.2062e-01	1.2419e+00
7.1	1.0733e-01	3.1217e-01	1.8099e-01	4.3230e-02	9.0133e-02	1.1236e-01	1.0472e+00	3.4727e-01	1.3082e-01	1.2015e+00
7.2	1.0727e-01	3.2491e-01	2.0938e-01	4.7932e-02	7.9979e-02	1.0907e-01	7.9959e-01	3.1442e-01	1.4260e-01	1.1452e+00
